'100000', '4', '3', '-1', 'Interloper\'s Boots', '42894', '4', '32768', '0', '1', '0', '10000', '8', '4', '-1', '67', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '7', '17', '3', '23', '5', '8', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '340', '0', '0', '0', '0', '0', '0', '0', '0', '0', '15464', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1000', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '50', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '67'
'100011', '4', '3', '-1', 'Interloper\'s Belt', '42887', '4', '0', '0', '1', '0', '10000', '6', '4', '-1', '68', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '3', '17', '7', '17', '5', '9', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '237', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7597', '1', '0', '0', '-1', '0', '-1', '15464', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1000', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '68'
'100012', '4', '3', '-1', 'Trapper\'s Boots', '32095', '4', '32768', '0', '1', '0', '10000', '8', '4', '-1', '67', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '7', '17', '3', '23', '5', '8', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '340', '0', '0', '0', '0', '0', '0', '0', '0', '0', '15464', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '50', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '67'
'100013', '4', '3', '-1', 'Trapper\'s Grips', '32098', '4', '32768', '0', '1', '0', '10000', '10', '4', '-1', '66', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '7', '19', '3', '20', '5', '4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '308', '0', '0', '0', '0', '0', '0', '0', '0', '0', '81383', '1', '0', '0', '-1', '0', '-1', '7597', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '40', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '66'
'100014', '4', '3', '-1', 'Trapper\'s Helm', '32093', '4', '32768', '0', '1', '0', '10000', '1', '4', '-1', '66', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '7', '24', '3', '30', '5', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '393', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7597', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '50', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '66'
'100015', '4', '3', '-1', 'Trapper\'s Breastplate', '32094', '4', '32768', '0', '1', '0', '10000', '5', '4', '-1', '66', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '7', '24', '3', '30', '5', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '472', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '7597', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '50', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '66'
'100016', '4', '3', '-1', 'Trapper\'s Legguards', '32097', '4', '32768', '0', '1', '0', '10000', '7', '4', '-1', '67', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '3', '30', '7', '24', '5', '11', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '417', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7597', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '50', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '67'
'100017', '4', '3', '-1', 'Trapper\'s Spaulders', '32092', '4', '32768', '0', '1', '0', '10000', '3', '4', '-1', '66', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '7', '18', '3', '21', '5', '9', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '367', '0', '0', '0', '0', '0', '0', '0', '0', '0', '15464', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '50', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '66'
'100018', '4', '3', '-1', 'Trapper\'s Wristguards', '42885', '4', '0', '0', '1', '0', '10000', '9', '4', '-1', '67', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '3', '18', '7', '10', '5', '6', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '185', '0', '0', '0', '0', '0', '0', '0', '0', '0', '15464', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '67'
'100019', '4', '0', '-1', 'Trapper\'s Necklace', '32297', '4', '0', '0', '1', '0', '10000', '2', '4', '-1', '67', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7597', '1', '0', '0', '-1', '0', '-1', '81529', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '67'
'100020', '4', '0', '-1', 'Trapper\'s Band', '31664', '4', '0', '0', '1', '0', '10000', '11', '4', '-1', '70', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '3', '21', '7', '16', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '70'
'100021', '4', '0', '-1', 'Trapper\'s Seal', '33856', '4', '32768', '0', '1', '0', '10000', '11', '4', '-1', '66', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '3', '20', '7', '11', '5', '8', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '4', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '66'
'100022', '4', '1', '-1', 'Trapper\'s Cloak', '33733', '4', '32768', '0', '1', '0', '10000', '16', '4', '-1', '67', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '3', '18', '7', '13', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '52', '0', '0', '0', '0', '0', '0', '0', '0', '0', '15464', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '7', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '67'
'100023', '4', '3', '-1', 'Trapper\'s Belt', '42887', '4', '0', '0', '1', '0', '10000', '6', '4', '-1', '68', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '3', '17', '7', '17', '5', '9', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '237', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7597', '1', '0', '0', '-1', '0', '-1', '15464', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '68'
'100024', '4', '3', '-1', 'Trainer\'s Boots', '32124', '4', '32768', '0', '1', '0', '10000', '8', '4', '-1', '67', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '7', '17', '3', '23', '5', '8', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '340', '0', '0', '0', '0', '0', '0', '0', '0', '0', '15464', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1002', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '50', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '67'
'100025', '4', '3', '-1', 'Trainer\'s Grips', '32119', '4', '32768', '0', '1', '0', '10000', '10', '4', '-1', '66', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '7', '19', '3', '20', '5', '4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '308', '0', '0', '0', '0', '0', '0', '0', '0', '0', '81384', '1', '0', '0', '-1', '0', '-1', '7597', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1002', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '40', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '66'
'100026', '4', '3', '-1', 'Trainer\'s Helm', '32135', '4', '32768', '0', '1', '0', '10000', '1', '4', '-1', '66', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '7', '24', '3', '30', '5', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '393', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7597', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1002', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '50', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '66'
'100027', '4', '3', '-1', 'Trainer\'s Breastplate', '32122', '4', '32768', '0', '1', '0', '10000', '5', '4', '-1', '66', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '7', '24', '3', '30', '5', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '472', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '7597', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1002', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '50', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '66'
'100028', '4', '3', '-1', 'Trainer\'s Legguards', '32120', '4', '32768', '0', '1', '0', '10000', '7', '4', '-1', '67', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '4', '3', '30', '7', '24', '5', '11', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '417', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7597', '1', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '1', '', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1002', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '50', '0', '0', '0', '', '2', '0', '0', '0', '0', '12340', '0', '0', '1', '0', '0', '67'
